is_CA,has_roundC,has_angel,category_advertising,category_hardware,category_photo_video,avg_participants,category_enterprise,category_messaging,is_software,category_consulting,category_software,is_advertising,category_medical,is_web,has_VC,category_health,is_TX,funding_total_usd,category_games_video,is_consulting,is_othercategory,has_roundA,is_MA,category_news,category_finance,category_manufacturing,is_NY,relationships,is_biotech,category_web,is_mobile,category_network_hosting,age_first_milestone_year,category_education,category_public_relations,is_ecommerce,milestones,category_social,age_first_funding_year,has_roundB,has_roundD,funding_rounds,category_music,category_semiconductor,age_last_milestone_year,age_last_funding_year,is_otherstate,is_enterprise,category_cleantech,category_ecommerce,category_fashion,category_travel,category_biotech,category_analytics,category_other,is_gamesvideo,category_search,category_mobile,category_security,category_real_estate,category_automotive
1,0,1,False,False,False,1.0,True,False,0,False,False,0,False,0,1,False,0,4087500,False,0,0,0,0,False,False,False,0,4.0,0,False,0,False,8.98,False,False,0,3,False,7.98,0,0,3,False,False,12.72,11.17,0,0,False,False,False,False,False,False,False,0,False,False,False,False,False
0,0,0,True,False,False,1.0,False,False,0,False,False,0,False,0,0,False,0,45000000,False,0,0,0,0,False,False,False,0,20.5,0,False,0,False,,False,False,0,0,False,3.79,1,0,1,False,False,,3.79,0,0,False,False,False,False,False,False,False,0,False,False,False,False,False
1,0,0,False,False,True,1.0,False,False,0,False,False,0,False,0,1,False,0,5200000,False,0,1,1,0,False,False,False,0,5.0,0,False,0,False,1.95,False,False,0,2,False,0.71,0,0,2,False,False,2.28,2.28,0,0,False,False,False,False,False,False,False,0,False,False,False,False,False
0,0,1,True,False,False,2.0,False,False,0,False,False,0,False,0,0,False,0,14500000,False,0,0,0,0,False,False,False,0,16.0,0,False,0,False,9.62,False,False,0,2,False,3.0,1,0,2,False,False,10.39,5.0,0,0,False,False,False,False,False,False,False,0,False,False,False,False,False
1,0,0,False,False,False,2.8,False,False,0,False,False,0,False,0,0,False,0,60187500,False,0,0,1,0,False,False,False,0,20.5,0,True,0,False,6.21,False,False,0,4,False,0.66,1,0,5,False,False,8.61,5.88,0,0,False,False,False,False,False,False,False,0,False,False,False,False,False
0,0,0,False,False,False,4.0,False,False,0,False,True,0,False,0,1,False,0,20500000,False,0,0,0,0,False,False,False,0,5.0,0,False,0,False,,False,False,0,0,False,1.09,0,0,1,False,False,,1.09,0,0,False,False,False,False,False,False,False,0,False,False,False,False,False
1,0,0,False,False,False,1.0,False,False,0,False,True,0,False,0,0,False,0,900000,False,0,0,1,0,False,False,False,0,3.0,0,False,0,False,,False,False,0,0,False,0.65,0,0,1,False,False,,0.65,0,0,False,False,False,False,False,False,False,0,False,False,False,False,False
0,0,0,False,False,False,3.0,False,False,0,False,True,0,False,0,1,False,0,48730000,False,0,0,1,0,False,False,False,0,5.0,0,False,0,False,3.0,False,False,0,3,False,0.34,1,0,4,False,False,6.03,5.22,0,0,False,False,False,False,False,False,False,0,False,False,False,False,False
1,0,1,False,False,False,2.0,False,False,0,False,False,0,False,0,0,False,0,50000,True,0,0,0,0,False,False,False,0,2.0,0,False,0,False,0.74,False,False,0,1,False,0.0,0,0,1,False,False,0.74,0.0,0,0,False,False,False,False,False,False,False,0,False,False,False,False,False
0,0,1,False,False,False,3.1667,False,False,0,False,False,0,False,0,1,False,0,60187500,False,0,0,1,0,False,False,False,0,12.0,0,False,0,False,3.66,False,False,0,5,False,0.08,1,0,6,False,False,5.61,4.33,0,0,False,False,False,False,False,False,False,0,False,True,False,False,False
1,0,1,False,False,False,3.6667,False,False,0,False,False,0,False,0,0,False,0,2000000,False,0,1,0,0,False,False,False,0,16.0,0,False,0,False,3.92,False,False,0,2,False,0.75,0,0,3,False,False,4.5,3.07,0,0,False,False,False,False,False,False,False,0,False,False,False,False,False
1,0,1,False,False,False,4.0,False,False,0,False,False,0,False,0,0,False,0,6000000,False,0,0,1,0,False,False,False,0,20.5,0,True,0,False,2.17,False,False,0,2,False,,0,0,2,False,False,4.6,1.25,0,0,False,False,False,False,False,False,False,0,False,False,False,False,False
